domain,category,score,first_seen,last_seen,ports,ip,url,type,file_hash
flavobac.ru,Network activity,,,,,,,domain,
flodman.ru,Network activity,,,,,,,domain,
floridae.xyz,Network activity,,,,,,,domain,
flounder.site,Network activity,,,,,,,domain,
floundera.online,Network activity,,,,,,,domain,
fluviatilis.xyz,Network activity,,,,,,,domain,
fnhn.online,Network activity,,,,,,,domain,
fnrn.online,Network activity,,,,,,,domain,
fnrn.ru,Network activity,,,,,,,domain,
fordimo.ru,Network activity,,,,,,,domain,
formosanus.online,Network activity,,,,,,,domain,
fortfar.ru,Network activity,,,,,,,domain,
fortias.ru,Network activity,,,,,,,domain,
fortinas.ru,Network activity,,,,,,,domain,
fortitat.ru,Network activity,,,,,,,domain,
fortuskan.ru,Network activity,,,,,,,domain,
fossilis.xyz,Network activity,,,,,,,domain,
fossor.online,Network activity,,,,,,,domain,
fragilis.xyz,Network activity,,,,,,,domain,
fukakumog.ru,Network activity,,,,,,,domain,
fusari.ru,Network activity,,,,,,,domain,
fusaris.ru,Network activity,,,,,,,domain,
gaderu.ru,Network activity,,,,,,,domain,
gangeticus.xyz,Network activity,,,,,,,domain,
garbani.ru,Network activity,,,,,,,domain,
gartisop.ru,Network activity,,,,,,,domain,
gasterosteus.xyz,Network activity,,,,,,,domain,
gastrotheca.xyz,Network activity,,,,,,,domain,
gavialis.xyz,Network activity,,,,,,,domain,
gelsemium.xyz,Network activity,,,,,,,domain,
genkai.ru,Network activity,,,,,,,domain,
geophagusi.xyz,Network activity,,,,,,,domain,
gholam.ru,Network activity,,,,,,,domain,
gibarto.ru,Network activity,,,,,,,domain,
gibelio.xyz,Network activity,,,,,,,domain,
giboltar.ru,Network activity,,,,,,,domain,
giltorad.ru,Network activity,,,,,,,domain,
giroed.ru,Network activity,,,,,,,domain,
gitrostan.ru,Network activity,,,,,,,domain,
glanisa.xyz,Network activity,,,,,,,domain,
glitteran.ru,Network activity,,,,,,,domain,
gloritapa.ru,Network activity,,,,,,,domain,
glotrast.ru,Network activity,,,,,,,domain,
gluconid.ru,Network activity,,,,,,,domain,
goatfish.online,Network activity,,,,,,,domain,
goatfish.ru,Network activity,,,,,,,domain,
goatfish.site,Network activity,,,,,,,domain,
golintras.site,Network activity,,,,,,,domain,
golitrap.ru,Network activity,,,,,,,domain,
golitus.ru,Network activity,,,,,,,domain,
golofir.ru,Network activity,,,,,,,domain,
golorta.ru,Network activity,,,,,,,domain,
goloser.ru,Network activity,,,,,,,domain,
gonepteryx.online,Network activity,,,,,,,domain,
gonepteryx.ru,Network activity,,,,,,,domain,
gongorat.ru,Network activity,,,,,,,domain,
goolati.ru,Network activity,,,,,,,domain,
gordovat.ru,Network activity,,,,,,,domain,
gorigan.ru,Network activity,,,,,,,domain,
gorimana.site,Network activity,,,,,,,domain,
gorrita.ru,Network activity,,,,,,,domain,
gortisir.ru,Network activity,,,,,,,domain,
gortomalo.ru,Network activity,,,,,,,domain,
