domain,category,score,first_seen,last_seen,ports,ip,url,type,file_hash
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,182.241.30.163,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,183.14.135.158,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,183.196.210.110,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,183.3.150.178,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,183.89.78.52,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,185.193.143.11,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,185.193.143.70,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,185.20.224.218,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,185.20.226.9,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,185.213.155.177,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,185.232.52.57,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,185.232.52.58,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,185.232.52.60,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,185.232.52.61,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,185.244.180.13,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,185.251.91.137,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,185.46.10.143,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,185.46.10.250,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,185.46.10.28,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,185.46.10.73,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,185.46.11.115,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,185.46.11.72,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,185.46.11.79,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,185.46.8.12,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,185.46.9.133,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,185.46.9.81,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,186.91.202.113,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,187.94.189.20,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,188.225.25.132,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,188.225.42.206,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,188.225.43.174,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,188.225.44.138,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,188.225.44.181,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,188.225.44.76,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,188.225.58.233,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,188.225.87.166,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,188.93.210.54,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,189.206.22.187,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,189.245.78.26,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,190.206.191.41,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,190.206.244.70,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,190.78.180.120,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,193.164.150.111,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,193.164.150.121,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.180.174.46,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.33.40.81,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.50.128.100,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.58.103.22,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.58.111.215,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.58.111.54,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.58.119.99,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.58.120.207,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.58.121.225,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.58.121.94,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.58.122.212,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.58.123.47,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.58.90.120,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.58.92.102,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.58.97.245,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.58.98.215,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.61.3.231,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.67.108.168,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.67.109.14,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.67.109.164,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.67.109.76,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.67.110.89,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.67.111.121,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.67.113.186,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.67.113.99,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.67.116.180,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.67.116.250,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.67.116.67,,ip,
Thinking-Objects-GmbH-Team-SOC,Network activity,100,2022-02-01,,,194.67.116.81,,ip,
